Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I19805,colonic cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.57664,,,,,,,,,
I19806,Central Neuroblastoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19807,account,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19808,assessment,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19809,monocyte,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.328628,,,,,,,,,
I19810,hypaconitine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19811,cholesterol; cholesterol,,,,,,,,,,,,
I19812,GTEX-S4P3-0008-SM-3NM8R,GTEx Tissue Sample Gene Expression Profiles,-1,-1.27705,,,,,,,,,
I19813,Dementia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19814,NCIH1385,CCLE Cell Line Gene Expression Profiles,1,1.96021,,,,,,,,,
I19815,intrinsic component of plasma membrane,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.192665,,,,,,,,,
I19816,Optic Neuritis,CTD Gene-Disease Associations,1,1.15223,,,,,,,,,
I19817,mRNA_YY1_22210892,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,,,,,,,,,
I19818,Head and Neck squamous cell carcinoma_HNSC_TCGA-CR-5248-01A-01R-2016-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19819,AHNAK,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19820,triggered,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19821,smooth muscle cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.478668,,,,,,,,,
I19822,tapproteasome,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19823,antibiotic G 418,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19824,distributions,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19825,hsa-miR-451a,MiRTarBase microRNA Targets,1,null,,,,,,,,,
I19826,antibodies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19827,TNFRSF18,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19828,Schizophrenia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19829,rescued,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19830,metastatic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19831,GTEX-R55E-0011-R6A-SM-2TC5T,GTEx Tissue Sample Gene Expression Profiles,1,0.980666,,,,,,,,,
I19832,SOX2,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I19833,Lung squamous cell carcinoma_LUSC_TCGA-66-2754-01A-01R-0980-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19834,adenocarcinoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.5891,,,,,,,,,
I19835,mir16,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19836,HCT 116,Klijn et al.,,,,,,,,,,,
I19837,pancreatic carcinoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.355972,,,,,,,,,
I19838,GTEX-QV44-0008-SM-447AX,GTEx Tissue Sample Gene Expression Profiles,-1,-1.15584,,,,,,,,,
I19839,ventrolateral prefrontal cortex_13 pcw_M_12820,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-0.860834,,,,,,,,,
I19840,GTEX-WHPG-2226-SM-3NMBO,GTEx Tissue Sample Gene Expression Profiles,-1,-0.85482,,,,,,,,,
I19841,physiological,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19842,PMC7828172__F2,Wikipathways PFOCR,1,null,,,,,,,,,
I19843,cdx2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19844,choosing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19845,Lung adenocarcinoma_LUAD_TCGA-44-6146-11A-01R-1858-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19846,nonsignificant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19847,digestive gland,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.87443,,,,,,,,,
I19848,MHH-PREB-1,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19849,PECAPJ49,CCLE Cell Line Gene CNV Profiles,1,1.76208,,,,,,,,,
I19850,HCT-15,GDSC Cell Line Gene Expression Profiles,1,2.28842,,,,,,,,,
I19851,implicate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19852,idarubicin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19853,Postoperative Complications,CTD Gene-Disease Associations,1,2.21755,,,,,,,,,
I19854,adrenal gland,HPA Tissue Gene Expression Profiles,1,1.62391,,,,,,,,,
I19855,ways,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19856,non-small cell lung carcinoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.963309,,,,,,,,,
I19857,therapies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19858,llc-pk1 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.0407,,,,,,,,,
I19859,Adult Soft Tissue Sarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19860,blood platelet disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.233183,,,,,,,,,
I19861,nose,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.274045,,,,,,,,,
I19862,perhaps,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19863,GTEX-WEY5-0008-SM-4LMKC,GTEx Tissue Sample Gene Expression Profiles,-1,-1.10522,,,,,,,,,
I19864,Dihydroergotamine,DrugBank Drug Targets,1,null,,,,,,,,,
I19865,RBFA,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19866,remission,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19867,catalytic activity,GO Molecular Function Annotations,1,null,,,,,,,,,
I19868,here,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19869,bowel,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19870,CEBPA,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I19871,cell property,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.637594,,,,,,,,,
I19872,cases,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19873,ls-180 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.74226,,,,,,,,,
I19874,Peritoneal Adhesion,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19875,ETS1,ENCODE Transcription Factor Targets,1,null,,,,,,,,,
I19876,Spinal Canal Stenosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19877,UACC-812,Klijn et al.,,,,,,,,,,,
I19878,Substance Withdrawal Syndrome,CTD Gene-Disease Associations,1,2.4846,,,,,,,,,
I19879,cervical carcinoma cell,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,,,,,,,,,
I19880,internal male genital organ,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.857574,,,,,,,,,
I19881,chemoradiation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19882,GTEX-OHPN-0011-R2A-SM-2I5FB,GTEx Tissue Sample Gene Expression Profiles,1,1.2187,,,,,,,,,
I19883,inhibitordependent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19884,regimens,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19885,negligible,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19886,Dizziness,CTD Gene-Disease Associations,1,2.50744,,,,,,,,,
I19887,deletion,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19888,clusters,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19889,multi-drug resistance factors,Biocarta Pathways,1,null,,,,,,,,,
I19890,H3K4me3_liver_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19891,Meningioma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19892,shortterm,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19893,leukemia,,,,,,,,,,,,
I19894,arg,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19895,reduced,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19896,suberoylanilide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19897,NCI-H650,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19898,correlate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19899,cell culture,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.41814,,,,,,,,,
I19900,fadut,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19901,kinases,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19902,determines,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19903,GTEX-PSDG-0526-SM-2S1OH,GTEx Tissue Sample Gene Expression Profiles,-1,-1.07414,,,,,,,,,
I19904,VI,,,,,,,,,,,,
I19905,studied,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19906,attenuate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19907,estrogens,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19908,Taurocholic acid,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I19909,angiotensin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19910,minimal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19911,Acute Megakaryocytic Leukemias,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19912,hydrogen,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19913,membrane-bounded organelle,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.663342,,,,,,,,,
I19914,BAHCC1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I19915,inferolateral temporal cortex (area TEv,,,,,,,,,,,,
I19916,transitional,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19917,epidermoid,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19918,wide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19919,Photosensitivity Disorders,CTD Gene-Disease Associations,1,1.13929,,,,,,,,,
I19920,thalamus,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,,,,,,,,,
I19921,unmutated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19922,Kidney Failure,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19923,modulate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19924,polychemotherapy,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19925,underwent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19926,sublines,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19927,poor,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19928,hepatoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.4057,,,,,,,,,
I19929,GTEX-XMD1-0011-R1A-SM-4AT4C,GTEx Tissue Sample Gene Expression Profiles,1,0.87533,,,,,,,,,
I19930,spatial,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19931,bridge,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19932,H3K4me1_olfactory bulb_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19933,broadly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19934,malignant ovarian surface epithelial-stromal neoplasm,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.997814,,,,,,,,,
I19935,transplanted,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19936,CHEMBL513147,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I19937,Uterine Cervical Neoplasms,CTD Gene-Disease Associations,1,2.03939,,,,,,,,,
I19938,SU-DHL-10,Klijn et al.,,,,,,,,,,,
I19939,Malignant Melanoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19940,Fecal Incontinence,CTD Gene-Disease Associations,1,1.03009,,,,,,,,,
I19941,tpmt,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19942,SW13,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19943,Leiomyosarcoma,CTD Gene-Disease Associations,1,1.58467,,,,,,,,,
I19944,homozygous,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19945,Ischemia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19946,carboxylic acid transmembrane transport,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I19947,exposed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19948,Xeroderma Pigmentosum,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19949,wt1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19950,infected,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19951,colon,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19952,Lymphopenia,CTD Gene-Disease Associations,1,1.57853,,,,,,,,,
I19953,stevens-johnson syndrome,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.234573,,,,,,,,,
I19954,populationspecific,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19955,Eye Diseases,CTD Gene-Disease Associations,1,1.55304,,,,,,,,,
I19956,animal,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,,,,,,,,,
I19957,H3K4me1_brain_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I19958,infection; precursor cell lymphoblastic leukemia-lymphoma,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19959,Dyspnea,CTD Gene-Disease Associations,1,2.47311,,,,,,,,,
I19960,ovarian cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.3821,,,,,,,,,
I19961,rhinosinusitis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19962,malaysians,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19963,prion,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19964,Delirium,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19965,kavain,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19966,DOTC2-4510,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I19967,depolarization,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19968,drugdrug,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19969,pancreas_6b,HPA Tissue Sample Gene Expression Profiles,-1,-0.864517,,,,,,,,,
I19970,Severe Combined Immunodeficiency,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19971,Prostate adenocarcinoma_PRAD_TCGA-VN-A88I-01A-11R-A352-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19972,Prostate adenocarcinoma_PRAD_TCGA-HC-7079-01A-11R-1965-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I19973,Beclomethasone,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19974,bufalin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I19975,GTEX-OHPK-1326-SM-3MJGN,GTEx Tissue Sample Gene Expression Profiles,1,1.61691,,,,,,,,,
I19976,carbohydrate derivative binding,GO Molecular Function Annotations,1,null,,,,,,,,,
I19977,lymphoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.03083,,,,,,,,,
I19978,GTEX-SJXC-0008-SM-4DM7G,GTEx Tissue Sample Gene Expression Profiles,-1,-1.42318,,,,,,,,,
I19979,remained,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19980,synovium cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.264785,,,,,,,,,
I19981,gastroparesis,GAD Gene-Disease Associations,1,null,,,,,,,,,
I19982,lymphocytic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19983,subarachnoid space,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.854629,,,,,,,,,
I19984,Liver Cirrhosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19985,Carcinoma,,,,,,,,,,,,
I19986,month,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19987,Obesity,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I19988,Bone Neoplasms,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I19989,fetal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19990,GTEX-WH7G-1626-SM-4LVMY,GTEx Tissue Sample Gene Expression Profiles,1,1.13077,,,,,,,,,
I19991,Embryo Loss,CTD Gene-Disease Associations,1,1.18816,,,,,,,,,
I19992,membrane,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.237908,,,,,,,,,
I19993,signal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19994,possible,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19995,crosscomplementing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19996,tumorinitiating,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I19997,cytoplasm,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.28569,,,,,,,,,
I19998,Tacrolimus,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I19999,shows,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20000,abnormal leukocyte cell number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I20001,optimized,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20002,schizophrenia,GAD Gene-Disease Associations,1,null,,,,,,,,,
I20003,IZ in midlateral extrastriate cortex (area 19),Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.22093,,,,,,,,,
I20004,geographical,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20005,abnormal granulocyte morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I20006,coronary artery disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.416147,,,,,,,,,
I20007,SW 1573,Klijn et al.,,,,,,,,,,,
I20008,Aids (Disease),DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I20009,cd44,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20010,BRD-K49448285_Bisindolylmaleimide IV_A375_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I20011,GTEX-U8XE-0008-SM-4E3K4,GTEx Tissue Sample Gene Expression Profiles,-1,-2.97234,,,,,,,,,
I20012,Epilepsies,,,,,,,,,,,,
I20013,inferolateral temporal cortex (area TEv,,,,,,,,,,,,
I20014,Head and Neck squamous cell carcinoma_HNSC_TCGA-CV-7245-11A-01R-2016-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I20015,Schizophrenic Psychology,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I20016,compound,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20017,N-(1-phenylcyclohexyl)-3-ethoxypropanamine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I20018,neratinib,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20019,BRD-K28392481_AZD4547_HEPG2_24_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I20020,GTEX-PVOW-0011-R5A-SM-32PL7,GTEx Tissue Sample Gene Expression Profiles,1,1.10494,,,,,,,,,
I20021,greatly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20022,PRKCA,KEA Substrates of Kinases,1,null,,,,,,,,,
I20023,digoxin serum concentration,GAD Gene-Disease Associations,1,null,,,,,,,,,
I20024,BRD-K50000283_PHA-767491_HA1E_24_h_3.33_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I20025,HUCCT1,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I20026,ambulatory,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20027,hyperbilirubinemia,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20028,choriocarcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.592043,,,,,,,,,
I20029,means,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20030,U-698-M,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I20031,ubiquitinproteasome,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20032,mRNA_KLF4_19796622,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,,,,,,,,,
I20033,ape1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20034,Prostate adenocarcinoma_PRAD_TCGA-KK-A8I4-01A-11R-A36G-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I20035,Alcohol Or Other Drugs Use,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I20036,c118t,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20037,repeated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20038,fzd1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20039,SLR24,CCLE Cell Line Gene Expression Profiles,1,1.38033,,,,,,,,,
I20040,GATA3,ENCODE Transcription Factor Targets,1,null,,,,,,,,,
I20041,AAA+ ATPase domain,InterPro Predicted Protein Domain Annotations,1,null,,,,,,,,,
I20042,memory,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20043,generation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20044,BRD-K69932463_AZD8055_MDST8_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I20045,endomembrane system,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.336996,,,,,,,,,
I20046,genbank,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20047,hypertension,GWASdb SNP-Disease Associations,1,0.500733,,,,,,,,,
I20048,SUM1315MO2,Heiser et al.,,,,,,,,,,,
I20049,Coronary Disease,CTD Gene-Disease Associations,1,1.93292,,,,,,,,,
I20050,mechanistic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20051,Ergotamine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I20052,proteasome accessory complex,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.7964,,,,,,,,,
I20053,NUGC-3,GDSC Cell Line Gene Expression Profiles,-1,-1.54944,,,,,,,,,
I20054,maximal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I20055,connective tissue cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.514571,,,,,,,,,
I20056,posttreatment,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
