Patient ID,association,dataset,threshold value,standardized value
I16486,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16487,TargetScan Predicted Nonconserved microRNA Targets,1,0.965816,
I16488,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.04997,
I16489,GTEx Tissue Sample Gene Expression Profiles,-1,-1.17156,
I16490,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16491,,,,
I16492,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.081084,
I16493,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16494,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16495,,,,
I16496,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,1,3.17925,
I16497,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16498,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,-1,-1.31311,
I16499,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16500,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16501,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16502,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.20189,
I16503,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.08379,
I16504,Klijn et al.,,,
I16505,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16506,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16507,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16508,GeneRIF Biological Term Annotations,1,null,
I16509,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16510,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16511,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16512,ENCODE Histone Modification Site Profiles,1,null,
I16513,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16514,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I16515,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16516,Pathway Commons Protein-Protein Interactions,1,null,
I16517,GTEx Tissue Sample Gene Expression Profiles,1,0.879435,
I16518,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I16519,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16520,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16521,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16522,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.08815,
I16523,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.60268,
I16524,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16525,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16526,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.891237,
I16527,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.341639,
I16528,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.20697,
I16529,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00973,
I16530,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16531,ENCODE Histone Modification Site Profiles,1,null,
I16532,CTD Gene-Disease Associations,1,2.11659,
I16533,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16534,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16535,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.46593,
I16536,GTEx Tissue Sample Gene Expression Profiles,-1,-1.562,
I16537,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.050211,
I16538,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16539,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16540,Roadmap Epigenomics Cell and Tissue Gene Expression Profiles,-1,-1.09695,
I16541,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16542,GTEx Tissue Sample Gene Expression Profiles,1,0.871954,
I16543,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16544,CTD Gene-Disease Associations,1,1.17695,
I16545,Pathway Commons Protein-Protein Interactions,1,null,
I16546,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16547,CCLE Cell Line Gene Expression Profiles,1,2.6739,
I16548,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16549,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16550,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16551,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16552,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16553,CTD Gene-Disease Associations,1,1.10838,
I16554,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16555,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16556,GeneRIF Biological Term Annotations,1,null,
I16557,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16558,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16559,Klijn et al.,,,
I16560,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16561,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16562,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.15096,
I16563,Klijn et al.,,,
I16564,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16565,CHEA Transcription Factor Targets,1,null,
I16566,GEO Signatures of Differentially Expressed Genes for Diseases,-1,-1.07369,
I16567,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16568,GeneSigDB Published Gene Signatures,1,null,
I16569,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16570,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16571,Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles,-1,-0.834422,
I16572,CCLE Cell Line Gene Expression Profiles,-1,-1.47279,
I16573,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16574,ENCODE Histone Modification Site Profiles,1,null,
I16575,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.693832,
I16576,MPO Gene-Phenotype Associations,1,null,
I16577,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.85367,
I16578,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.20513,
I16579,ENCODE Transcription Factor Targets,1,null,
I16580,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16581,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16582,GeneRIF Biological Term Annotations,1,null,
I16583,HPA Tissue Sample Gene Expression Profiles,-1,-2.07549,
I16584,GTEx Tissue Sample Gene Expression Profiles,1,1.11952,
I16585,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16586,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.068848,
I16587,TargetScan Predicted Nonconserved microRNA Targets,1,1.7397,
I16588,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16589,HPA Tissue Sample Gene Expression Profiles,-1,-1.30123,
I16590,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.268137,
I16591,GeneRIF Biological Term Annotations,1,null,
I16592,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I16593,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.122203,
I16594,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.43782,
I16595,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.45197,
I16596,CTD Gene-Disease Associations,1,1.05386,
I16597,ENCODE Transcription Factor Binding Site Profiles,1,null,
I16598,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16599,CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16600,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16601,CTD Gene-Disease Associations,1,2.02431,
I16602,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.382223,
I16603,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16604,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16605,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.968348,
I16606,,,,
I16607,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.1149,
I16608,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16609,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16610,Pathway Commons Protein-Protein Interactions,1,null,
I16611,Pathway Commons Protein-Protein Interactions,1,null,
I16612,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.60223,
I16613,GTEx Tissue Sample Gene Expression Profiles,-1,-0.840029,
I16614,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16615,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.285316,
I16616,GTEx Tissue Sample Gene Expression Profiles,1,1.1191,
I16617,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16618,,,,
I16619,GeneRIF Biological Term Annotations,1,null,
I16620,GeneRIF Biological Term Annotations,1,null,
I16621,,,,
I16622,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16623,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.18883,
I16624,Pathway Commons Protein-Protein Interactions,1,null,
I16625,GTEx Tissue Sample Gene Expression Profiles,-1,-0.94809,
I16626,GTEx Tissue Sample Gene Expression Profiles,1,1.24268,
I16627,CHEA Transcription Factor Targets,1,null,
I16628,GeneRIF Biological Term Annotations,1,null,
I16629,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16630,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16631,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16632,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16633,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.943308,
I16634,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16635,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16636,GTEx Tissue Sample Gene Expression Profiles,-1,-0.829684,
I16637,GeneSigDB Published Gene Signatures,1,null,
I16638,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16639,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.965928,
I16640,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16641,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I16642,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16643,CTD Gene-Disease Associations,1,1.30026,
I16644,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16645,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16646,GTEx Tissue Sample Gene Expression Profiles,-1,-0.847795,
I16647,GTEx Tissue Sample Gene Expression Profiles,1,1.06736,
I16648,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16649,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16650,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16651,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.954304,
I16652,,,,
I16653,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16654,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16655,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16656,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16657,Pathway Commons Protein-Protein Interactions,1,null,
I16658,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16659,Pathway Commons Protein-Protein Interactions,1,null,
I16660,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16661,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16662,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.0832,
I16663,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16664,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16665,Klijn et al.,,,
I16666,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16667,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16668,GTEx Tissue Sample Gene Expression Profiles,-1,-1.26894,
I16669,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16670,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I16671,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I16672,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16673,CCLE Cell Line Gene CNV Profiles,1,1.40493,
I16674,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16675,ENCODE Histone Modification Site Profiles,1,null,
I16676,,,,
I16677,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.69272,
I16678,JASPAR Predicted Transcription Factor Targets,1,null,
I16679,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16680,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16681,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16682,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I16683,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.71113,
I16684,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16685,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16686,,,,"7-tetrahydrobenzo[c]thiophene-1-carboxylate MAY_5_A549_6.0_h_10.0_um	LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null"
I16687,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.47196,
I16688,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16689,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I16690,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
